DATA_STRD_YR,LTTC_ID,CTPR_CD,SIGNGU_CD,LEGALDONG_CD,CENSUS_BNDR_CTPR_CD,CENSUS_BNDR_SIGNGU_CD,CENSUS_BNDR_EMD_CD,TKCAR_TRFC_QTY,AVE_TRAF_NMTM,AVE_TRAF_WAIT_TM,PBTS_TRAF_TRFC_RATE
2023,다바79b08a,30,30200,3020011000,25,25040,25040680,1350.0,0.6889,1497.0,0.0146
2023,다사46b55b,41,41281,4128113200,31,31101,31101670,282176.0,0.9043,911.0,0.0289
2023,다바90a14a,30,30140,3014011400,25,25020,25020640,287772.0,0.3048,700.0,0.121
2023,다라44b84a,29,29140,2914010600,24,24020,24020540,494969.0,0.0851,427.0,0.1099
2023,다사64a10b,41,41590,4159012900,31,31240,31240700,573344.0,0.3122,651.0,0.1315
2023,다바54b63b,44,44200,4420011200,34,34040,34040550,145455.0,0.1292,1031.0,0.0526
2023,다마66b64b,45,45113,4511312200,35,35012,35012650,162929.0,0.0798,708.0,0.0413
2023,라사06a21b,41,41670,4167034500,31,31280,31280390,129901.0,0.1726,607.0,0.0476
2023,다사74b37a,41,41610,4161010600,31,31250,31250570,247507.0,0.5554,1342.0,0.0161
2023,마마69a35a,31,31200,3120012500,26,26040,26040570,182051.0,0.223,1271.0,0.008
2023,마마62a14a,31,31710,3171025600,26,26510,26510130,100418.0,0.1578,1184.0,0.0133
2023,다바84a16b,30,30200,3020011200,25,25040,25040640,35329.0,0.4561,644.0,0.216
2023,마라37a93b,26,26320,2632010200,21,21080,21080630,41909.0,0.421,1842.0,0.017
2023,마라41a96a,26,26410,2641011300,21,21110,21110710,93270.0,0.4802,521.0,0.0327
2023,다사42b12b,41,41590,4159026200,31,31240,31240150,12980.0,0.4968,846.0,0.0196
2023,다다40a03b,50,50110,5011025600,39,39010,39010130,143454.0,0.1035,826.0,0.0684
2023,다사62a01a,41,41220,4122031000,31,31070,31070310,55846.0,0.5273,1050.0,0.012
2023,다사74a65a,41,41360,4136026200,31,31130,31130150,81324.0,0.3739,939.0,0.0354
2023,다사31b47a,28,28237,2823710600,23,23060,23060630,112519.0,0.543,888.0,0.0363
2023,마마38b02a,48,48330,4833031000,38,38100,38100310,103106.0,0.3158,1358.0,0.0073
2023,마마45b28b,31,31710,3171026500,26,26510,26510160,19467.0,0.171,1848.0,0.0015
2023,다바62b96a,41,41220,4122010800,31,31070,31070530,64238.0,0.4177,1178.0,0.0046
2023,다사71b27a,41,41461,4146125300,31,31191,31191120,271159.0,0.3835,678.0,0.1432
2023,마마61b29a,31,31140,3114010100,26,26020,26020580,83846.0,0.2877,1240.0,0.0069
2023,다바89a47b,43,43113,4311313900,33,33043,33043570,357.0,0.129,1305.0,0.0219
2023,라사15a57b,51,51720,5172037000,32,32510,32510370,14794.0,0.0308,912.0,0.0042
2023,다마56a95a,44,44230,4423025000,34,34060,34060110,8425.0,0.1637,2071.0,0.0212
2023,마라44b96a,26,26410,2641010700,21,21110,21110690,121144.0,0.1381,1188.0,0.1627
2023,다나13b97b,50,50110,5011013500,39,39010,39010630,7394.0,0.1915,738.0,0.04
2023,라라48a99b,48,48170,4817044000,38,38030,38030430,1178.0,0.3956,,0.0
2023,라라19a60b,46,46230,4623010700,36,36060,36060530,16145.0,0.1268,1812.0,0.0059
2023,다바83b70a,44,44131,4413136000,34,34011,34011360,1898.0,0.3166,1545.0,5.0E-4
2023,다사67a62a,41,41360,4136011100,31,31130,31130570,95321.0,0.482,1300.0,0.0263
2023,다사15b44b,28,28110,2811014500,23,23010,23010650,14215.0,0.2144,729.0,0.2181
2023,다나38b81b,50,50130,5013032000,39,39020,39020320,44816.0,0.2083,1087.0,0.0198
2023,다아62b08b,41,41800,4180025000,31,31550,31550110,37507.0,0.2545,952.0,0.0155
2023,다사29b65a,41,41287,4128710700,31,31104,31104514,10507.0,0.7004,1966.0,0.0059
2023,다나01a74b,50,50130,5013011300,39,39020,39020610,2117.0,0.1502,1351.0,0.0199
2023,다사60a17a,41,41117,4111710100,31,31014,31014530,13147.0,0.4341,1703.0,0.0024
2023,다바58a64a,44,44200,4420011800,34,34040,34040530,14799.0,0.1816,860.0,0.1291
2023,다사29b75b,41,41480,4148032000,31,31200,31200320,41911.0,0.5878,1291.0,0.0063
2023,다사24a11b,41,41273,4127311300,31,31092,31092720,2063.0,0.4983,1180.0,0.0082
2023,라라63b86a,48,48170,4817025000,38,38030,38030110,14528.0,0.1462,462.0,0.0358
2023,다바46b98b,41,41590,4159025900,31,31240,31240140,15962.0,0.3541,1117.0,0.0029
2023,다바16b26b,44,44180,4418034000,34,34030,34030350,328.0,0.0,,0.0
2023,나나86b94b,50,50110,5011025000,39,39010,39010110,12296.0,0.2024,980.0,0.0013
2023,다사81b31b,41,41610,4161025300,31,31250,31250120,20207.0,0.43,952.0,0.0648
2023,다사43a59a,41,41281,4128110500,31,31101,31101511,12302.0,0.746,1126.0,0.0117
2023,다마63b09a,45,45770,4577035000,35,35560,35560370,863.0,0.0,,0.0
2023,다사47a58a,41,41281,4128111300,31,31101,31101580,59005.0,0.4629,854.0,0.0511
2023,다사26b41b,28,28177,2817710400,23,23090,23090770,27671.0,0.5578,966.0,0.0179
2023,다사68b01b,41,41461,4146125900,31,31191,31191140,22096.0,0.2676,882.0,0.1541
2023,라아18b12b,51,51790,5179025000,32,32570,32570110,2046.0,0.0283,,0.0
2023,나라98a43b,46,46110,4611010200,36,36010,36010640,16534.0,0.1393,1094.0,0.0511
2023,라라25b21b,46,46130,4613025000,36,36020,36020110,4061.0,0.2451,1654.0,0.0017
2023,마바67b02a,47,47113,4711332000,37,37012,37012320,3857.0,0.1652,886.0,0.0146
2023,마마58a30b,31,31710,3171025900,26,26510,26510140,11570.0,0.2157,493.0,0.1421
2023,다마87b03b,45,45190,4519032000,35,35050,35050320,133.0,0.0526,,0.0
2023,다라43b81b,29,29140,2914012800,24,24020,24020670,29359.0,0.2598,726.0,0.0153
2023,라바05b55a,43,43114,4311425000,33,33044,33044110,2106.0,0.3499,610.0,0.0514
2023,다바89b27b,30,30200,3020014500,25,25040,25040610,19131.0,0.3295,602.0,0.1068
2023,다바77a88b,41,41550,4155034000,31,31220,31220340,11998.0,0.2805,1200.0,0.0012
2023,다라46a82b,29,29155,2915511300,24,24030,24030510,12725.0,0.1584,1264.0,0.0026
2023,다마67a73a,45,45710,4571025300,35,35510,35510120,11358.0,0.1142,1158.0,0.0151
2023,라사62a04a,43,43150,4315010200,33,33030,33030710,3964.0,0.0232,1588.0,0.0115
2023,다다42b01a,50,50110,5011025600,39,39010,39010130,271.0,0.2508,,0.0
2023,다사35a60b,41,41285,4128510400,31,31103,31103580,16822.0,0.8964,1697.0,0.0054
2023,다사98b42b,41,41830,4183031000,31,31580,31580310,5799.0,0.2283,665.0,0.0873
2023,다마67b08b,45,45770,4577025000,35,35560,35560110,7504.0,0.0,,0.0
2023,라사10a22a,41,41670,4167034500,31,31280,31280390,2206.0,0.1591,1176.0,0.0156
2023,라사19b89b,51,51110,5111011900,32,32010,32010710,21825.0,0.3151,1091.0,0.0417
2023,다마73a08b,45,45770,4577039000,35,35560,35560340,3124.0,0.0,,0.0
2023,라마94a08a,48,48730,4873036000,38,38520,38520360,912.0,0.1964,3079.0,0.0055
2023,라사09a30a,41,41670,4167035000,31,31280,31280360,1063.0,0.1383,1233.0,0.0112
2023,라라35a42a,48,48840,4884035000,38,38550,38550350,445.0,0.0,,0.0
2023,다사69a37b,41,41133,4113313200,31,31022,31022620,1499.0,0.6164,689.0,0.0254
2023,다바82a96a,41,41550,4155031000,31,31220,31220310,3357.0,0.2505,,0.0
2023,라아96a09a,51,51830,5183025000,32,32610,32610110,4226.0,0.0,,0.0
2023,다사37a03b,41,41590,4159025600,31,31240,31240130,6659.0,0.4751,2155.0,8.0E-4
2023,다사41a33b,41,41390,4139011000,31,31150,31150550,4845.0,0.5887,1167.0,0.0049
2023,다사35a36a,41,41390,4139010300,31,31150,31150530,1749.0,0.3025,860.0,0.0582
2023,라바59a47a,47,47280,4728010800,37,37090,37090600,1057.0,0.052,1018.0,0.0149
2023,마마70a97b,47,47113,4711325000,37,37012,37012110,1802.0,0.4363,4416.0,0.0044
2023,라사05a47a,41,41830,4183040000,31,31580,31580400,5647.0,0.2155,1296.0,2.0E-4
2023,다바58a67a,44,44200,4420025000,34,34040,34040110,3563.0,0.1614,1706.0,0.0056
2023,다사16b65b,41,41570,4157035000,31,31230,31230350,7341.0,0.6014,938.0,0.0346
2023,라사93a10b,51,51750,5175025000,32,32530,32530110,800.0,0.0,,0.0
2023,라라91b90a,48,48127,4812725000,38,38114,38114110,941.0,0.2581,2251.0,0.0105
2023,다사66b58b,41,41310,4131010100,31,31120,31120510,4301.0,0.3264,1001.0,0.0243
2023,다사92b41b,41,41830,4183032000,31,31580,31580320,2422.0,0.1681,,0.0
2023,다바48a57a,44,44200,4420040000,34,34040,34040390,143.0,0.0629,,0.0
2023,마사01a98b,51,51830,5183033000,32,32610,32610330,156.0,0.0,,0.0
2023,다나16b78a,50,50130,5013025300,39,39020,39020120,2171.0,0.0654,1028.0,0.0014
2023,다사80a69b,41,41360,4136034000,31,31130,31130340,4652.0,0.4955,525.0,2.0E-4
2023,마마67a95b,47,47113,4711325000,37,37012,37012110,1691.0,0.3839,,0.0
2023,라라86b54b,48,48220,4822031000,38,38050,38050310,5122.0,0.1984,1069.0,0.0122
2023,다바94b23b,30,30230,3023011800,25,25050,25050530,2775.0,0.7204,2043.0,0.0022
2023,다바85a84b,41,41550,4155032000,31,31220,31220320,358.0,0.2542,,0.0
2023,라아90a35a,51,51820,5182032000,32,32600,32600320,3177.0,0.0079,1706.0,0.0038
2023,다아95b27b,51,51780,5178031000,32,32560,32560310,1275.0,0.0212,1485.0,0.0016
2023,다라92a75a,46,46150,4615034000,36,36030,36030400,1398.0,0.3648,626.0,0.1749
2023,다마55b85b,45,45140,4514037000,35,35030,35030370,1132.0,0.3279,2025.0,0.0088
2023,라마31a96b,43,43740,4374025000,33,33540,33540110,379.0,0.0,,0.0
2023,라라02a53b,46,46150,4615031000,36,36030,36030370,1648.0,0.142,3033.0,0.0012
2023,마라18a80b,48,48129,4812916100,38,38115,38115640,7923.0,0.1781,560.0,0.0797
2023,다마42b35a,45,45180,4518031000,35,35040,35040310,133.0,0.0,,0.0
2023,라마28b97b,43,43740,4374025000,33,33540,33540110,3037.0,0.0053,514.0,0.0013
2023,다사44a31b,41,41390,4139012600,31,31150,31150560,1359.0,0.6792,877.0,0.032
2023,다사56b25b,41,41111,4111113800,31,31011,31011610,8495.0,0.3421,2141.0,1.0E-4
2023,나나97b93a,50,50110,5011025300,39,39010,39010120,1320.0,0.2644,1488.0,0.0075
2023,다사55b30b,41,41430,4143010700,31,31170,31170560,9110.0,0.7774,783.0,0.0372
2023,라라78a72a,48,48820,4882041000,38,38540,38540410,53.0,0.0,,0.0
2023,라라19b42a,46,46130,4613012500,36,36020,36020640,802.0,0.4426,1745.0,0.0099
2023,라바54a02b,47,47150,4715036000,37,37030,37030350,2735.0,0.4408,1437.0,0.0044
2023,마마50b56a,47,47130,4713033000,37,37020,37020330,638.0,0.5186,,0.0
2023,다사72a93b,41,41650,4165034000,31,31270,31270340,2680.0,0.1112,732.0,0.051
2023,라사68a10a,43,43150,4315038000,33,33030,33030370,577.0,0.1231,1067.0,0.0035
2023,다바81b91b,41,41550,4155031000,31,31220,31220310,266.0,0.0451,1363.0,0.0075
